item,itemLabel,participating_team,participating_teamLabel
http://www.wikidata.org/entity/Q4555930,1883 FA Cup Final,http://www.wikidata.org/entity/Q1430983,Old Etonians F.C.
http://www.wikidata.org/entity/Q4558100,1903 FA Cup Final,http://www.wikidata.org/entity/Q19573,Bury F.C.
http://www.wikidata.org/entity/Q4556928,1895 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q4558369,1905 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q4573112,1968 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4569618,1959 FA Cup Final,http://www.wikidata.org/entity/Q18520,Luton Town F.C.
http://www.wikidata.org/entity/Q4569618,1959 FA Cup Final,http://www.wikidata.org/entity/Q19490,Nottingham Forest F.C.
http://www.wikidata.org/entity/Q4556209,1887 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q10858414,1898 FA Cup Final,http://www.wikidata.org/entity/Q19470,Derby County F.C.
http://www.wikidata.org/entity/Q65044305,2020 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4558514,1906 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4580443,1982 FA Cup Final,http://www.wikidata.org/entity/Q18723,Queens Park Rangers F.C.
http://www.wikidata.org/entity/Q4575554,1973 FA Cup Final,http://www.wikidata.org/entity/Q1128631,Leeds United F.C.
http://www.wikidata.org/entity/Q4561185,1922 FA Cup Final,http://www.wikidata.org/entity/Q19612,Preston North End F.C.
http://www.wikidata.org/entity/Q4564259,1938 FA Cup Final,http://www.wikidata.org/entity/Q19612,Preston North End F.C.
http://www.wikidata.org/entity/Q4568367,1955 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q4556623,1892 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q4556816,1894 FA Cup Final,http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.
http://www.wikidata.org/entity/Q4556816,1894 FA Cup Final,http://www.wikidata.org/entity/Q19598,Notts County F.C.
http://www.wikidata.org/entity/Q4556721,1893 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4819517,1897 FA Cup Final,http://www.wikidata.org/entity/Q18711,Aston Villa F.C.
http://www.wikidata.org/entity/Q4819517,1897 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4560837,1920 FA Cup Final,http://www.wikidata.org/entity/Q19473,Huddersfield Town A.F.C.
http://www.wikidata.org/entity/Q4556356,1889 FA Cup Final,http://www.wikidata.org/entity/Q19612,Preston North End F.C.
